Gene	Class	Phenotype
aac(3)-IIIa	Aminoglycoside	Gentamicin, Tobramycin, Dibekacin, Sisomicin
aac(3)-IIIb	Aminoglycoside	Gentamicin, Tobramycin, Dibekacin, Sisomicin
aac(3)-IIIb	Aminoglycoside	Gentamicin, Tobramycin
aac(3)-IIIc	Aminoglycoside	Gentamicin, Tobramycin, Dibekacin, Sisomicin
aac(3)-IV	Aminoglycoside	Gentamicin, Tobramycin
aac(3)-IVa	Aminoglycoside	Apramycin, Gentamicin, Dibekacin, Netilmicin, Sisomicin, Tobramycin
aac(3)-IXa	Aminoglycoside	Gentamicin, Dibekacin, Kanamycin, Neomycin, Paromomycin, Amikacin, Arbekacin
aac(3)-VIa	Aminoglycoside	Gentamicin, Sisomicin, Netilmicin, Tobramycin
aac(3)-VIa	Aminoglycoside	Gentamicin
aac(3)-VIIa	Aminoglycoside	Gentamicin, Dibekacin, Kanamycin, Neomycin, Paromomycin, Amikacin, Arbekacin
aac(3)-VIII	Aminoglycoside	Unknown Aminoglycoside
aac(3)-VIIIa	Aminoglycoside	Gentamicin, Dibekacin, Kanamycin, Neomycin, Paromomycin, Amikacin, Arbekacin
aac(3)-Xa	Aminoglycoside	Gentamicin, Dibekacin, Kanamycin, Neomycin, Paromomycin, Amikacin, Arbekacin
aac(3)-XI	Aminoglycoside	Unknown Aminoglycoside
aac(6')-29a	Aminoglycoside	Amikacin, Tobramycin, Neomycin, Kanamycin, Netilmicin, Isepamicin, Sisomicin
aac(6')-29b	Aminoglycoside	Amikacin, Tobramycin, Neomycin, Kanamycin, Netilmicin, Isepamicin, Sisomicin
aac(6')-30-aac(6')-Ib'	Aminoglycoside	Amikacin, Gentamicin, Tobramycin, Neomycin, Kanamycin, Netilmicin, Isepamicin, Sisomicin
aac(6')-31	Aminoglycoside	Amikacin, Gentamicin, Tobramycin, Neomycin, Kanamycin, Netilmicin, Isepamicin, Sisomicin
aac(6')-32	Aminoglycoside	Tobramycin
aac(6')-33	Aminoglycoside	Amikacin, Tobramycin
aac(6')-aph(2'')	Aminoglycoside	Gentamicin, Tobramycin, Netilmicin, Kanamycin, Amikacin, Dibekacin, Isepamicin, Fortimicin, Streptomycin
aac(6')-I30	Aminoglycoside	Tobramycin, Dibekacin, Amikacin, Sisomicin, Netilmicin
aac(6')-Ia	Aminoglycoside	Tobramycin, Dibekacin, Amikacin, Sisomicin, Netilmicin
aac(6')-Iad	Aminoglycoside	Tobramycin, Dibekacin, Amikacin, Sisomicin, Netilmicin
aac(6')-Iae	Aminoglycoside	Tobramycin, Dibekacin, Amikacin, Sisomicin, Netilmicin
aac(6')-Iaf	Aminoglycoside	Tobramycin, Dibekacin, Amikacin, Sisomicin, Netilmicin
aac(6')-Iag	Aminoglycoside	Tobramycin, Dibekacin, Amikacin, Sisomicin, Netilmicin
aac(6')-Iai	Aminoglycoside	Tobramycin, Dibekacin, Amikacin, Sisomicin, Netilmicin
aac(6')-Iaj	Aminoglycoside	Tobramycin, Dibekacin, Amikacin, Sisomicin, Netilmicin
aac(6')-Iak	Aminoglycoside	Tobramycin, Dibekacin, Amikacin, Sisomicin, Netilmicin
aac(6')-Ian	Aminoglycoside	Tobramycin, Dibekacin, Amikacin, Sisomicin, Netilmicin
aac(6')-Ib	Aminoglycoside	Amikacin, Tobramycin
aac(6')-Ib	Aminoglycoside	Amikacin, Tobramycin, Kanamycin
aac(6')-Ib11	Aminoglycoside	Amikacin, Gentamicin, Tobramycin, Netilmicin
aac(6')-Ib3	Aminoglycoside	Amikacin, Tobramycin
aac(6')-Ib-cr	Aminoglycoside, Quinolone	Tobramycin, Dibekacin, Amikacin, Sisomicin, Netilmicin, Fluoroquinolone, Ciprofloxacin
aac(6')-Ib-Hangzhou	Aminoglycoside	Amikacin, Tobramycin
aac(6')-Ic	Aminoglycoside	Tobramycin, Dibekacin, Amikacin, Sisomicin, Netilmicin
aac(6')-If	Aminoglycoside	Tobramycin, Dibekacin, Amikacin, Sisomicin, Netilmicin
aac(6')-Ig	Aminoglycoside	Tobramycin, Dibekacin, Amikacin, Sisomicin, Netilmicin
aac(6')-Ih	Aminoglycoside	Tobramycin, Dibekacin, Amikacin, Sisomicin, Netilmicin
aac(6')-Ih	Aminoglycoside	Amikacin, Tobramycin, Netilmicin
aac(6')-Ii	Aminoglycoside	Tobramycin, Dibekacin, Gentamicin, Sisomicin, Netilmicin
aac(6')-IIa	Aminoglycoside	Tobramycin, Dibekacin, Gentamicin, Sisomicin, Netilmicin
aac(6')-IIb	Aminoglycoside	Tobramycin, Dibekacin, Gentamicin, Sisomicin, Netilmicin
aac(6')-IIc	Aminoglycoside	Gentamicin, Tobramycin
aac(6')-Iid	Aminoglycoside	Amikacin, Tobramycin
aac(6')-Iih	Aminoglycoside	Amikacin, Tobramycin
aac(6')-Ij	Aminoglycoside	Amikacin, Tobramycin
aac(6')-Ik	Aminoglycoside	Amikacin, Tobramycin
aac(6')-Il	Aminoglycoside	Amikacin, Tobramycin
aac(6')-Im	Aminoglycoside	Amikacin, Tobramycin, Kanamycin
aac(6')-Ip	Aminoglycoside	Amikacin, Tobramycin, Netilmicin
aac(6')-Iq	Aminoglycoside	Amikacin, Tobramycin, Netilmicin, Kanamycin
aac(6')-Ir	Aminoglycoside	Amikacin, Tobramycin
aac(6')-Is	Aminoglycoside	Amikacin, Tobramycin
aac(6')-Isa	Aminoglycoside	Amikacin, Tobramycin
aac(6')-It	Aminoglycoside	Amikacin, Tobramycin
aac(6')-Iu	Aminoglycoside	Amikacin, Tobramycin
aac(6')-Iv	Aminoglycoside	Amikacin, Tobramycin
aac(6')-Iw	Aminoglycoside	Amikacin, Tobramycin
aac(6')-Ix	Aminoglycoside	Amikacin, Tobramycin
aac(6')-Iz	Aminoglycoside	Amikacin, Tobramycin
aac(6')-Iaa	Aminoglycoside	Amikacin, Tobramycin
aacA43	Aminoglycoside	Tobramycin, Dibekacin, Amikacin, Sisomicin, Netilmicin
aadA1	Aminoglycoside	Spectinomycin, Streptomycin
aadA10	Aminoglycoside	Spectinomycin, Streptomycin
aadA11	Aminoglycoside	Spectinomycin, Streptomycin
aadA12	Aminoglycoside	Spectinomycin, Streptomycin
aadA13	Aminoglycoside	Spectinomycin, Streptomycin
aadA14	Aminoglycoside	Spectinomycin, Streptomycin
aadA15	Aminoglycoside	Spectinomycin, Streptomycin
aadA16	Aminoglycoside	Spectinomycin, Streptomycin
aadA17	Aminoglycoside	Spectinomycin, Streptomycin
aadA1b	Aminoglycoside	Spectinomycin, Streptomycin
aadA2	Aminoglycoside	Spectinomycin, Streptomycin
aadA21	Aminoglycoside	Spectinomycin, Streptomycin
aadA22	Aminoglycoside	Spectinomycin, Streptomycin
aadA23	Aminoglycoside	Spectinomycin, Streptomycin
aadA24	Aminoglycoside	Spectinomycin, Streptomycin
aadA2b	Aminoglycoside	Spectinomycin, Streptomycin
aadA3	Aminoglycoside	Spectinomycin, Streptomycin
aadA4	Aminoglycoside	Spectinomycin, Streptomycin
aadA5	Aminoglycoside	Spectinomycin, Streptomycin
aadA6	Aminoglycoside	Spectinomycin, Streptomycin
aadA7	Aminoglycoside	Spectinomycin, Streptomycin
aadA8	Aminoglycoside	Spectinomycin, Streptomycin
aadA8b	Aminoglycoside	Spectinomycin, Streptomycin
aadA9	Aminoglycoside	Spectinomycin, Streptomycin
aadD	Aminoglycoside	Amikacin, Tobramycin
aadE-Cc	Aminoglycoside	Streptomycin
aadK	Aminoglycoside	Streptomycin
mecA	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam
mecA1	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam
mecA2	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam
mecB	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam
mecC	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam
mecC2	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam
mecD	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam
blaOXA-1	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Piperacillin, Piperacillin+Tazobactam
blaOXA-2	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Ceftazidime, Piperacillin
blaOXA-3	Beta-lactam	Unknown Beta-lactam
blaOXA-4	Beta-lactam	Unknown Beta-lactam
blaOXA-5	Beta-lactam	Unknown Beta-lactam
blaOXA-7	Beta-lactam	Amoxicillin, Ampicillin
blaOXA-9	Beta-lactam	Amoxicillin, Ampicillin
blaOXA-10	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Piperacillin, Piperacillin+Tazobactam
blaOXA-11	Beta-lactam	Cefepime, Ceftazidime, Piperacillin
blaOXA-13	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Aztreonam, Cefotaxime, Ceftazidime, Piperacillin, Piperacillin+Tazobactam
blaOXA-14	Beta-lactam	Cefepime, Ceftazidime, Piperacillin, Piperacillin+Tazobactam
blaOXA-15	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Ceftazidime, Piperacillin
blaOXA-16	Beta-lactam	Cefepime, Cefixime, Cefotaxime, Ceftazidime, Piperacillin
blaOXA-17	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefixime, Cefotaxime, Ceftazidime
blaOXA-18	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefixime, Cefotaxime, Ceftazidime, Piperacillin
blaOXA-19	Beta-lactam	Amoxicillin, Ampicillin, Ceftazidime
blaOXA-20	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid
blaOXA-21	Beta-lactam	Unknown Beta-lactam
blaOXA-22	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Piperacillin, Piperacillin+Tazobactam
blaOXA-23	Beta-lactam	Imipenem, Meropenem
blaOXA-24	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Ceftazidime, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam
blaOXA-25	Beta-lactam	Unknown Beta-lactam
blaOXA-26	Beta-lactam	Unknown Beta-lactam
blaOXA-27	Beta-lactam	Unknown Beta-lactam
blaOXA-28	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefixime, Cefotaxime, Ceftazidime, Piperacillin, Piperacillin+Tazobactam
blaOXA-29	Beta-lactam	Unknown Beta-lactam
blaOXA-31	Beta-lactam	Amoxicillin, Ampicillin, Cefepime, Piperacillin, Piperacillin+Tazobactam
blaOXA-32	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Aztreonam, Cefepime, Cefixime, Cefotaxime, Ceftazidime, Piperacillin
blaOXA-34	Beta-lactam	Unknown Beta-lactam
blaOXA-35	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Piperacillin
blaOXA-36	Beta-lactam	Unknown Beta-lactam
blaOXA-37	Beta-lactam	Unknown Beta-lactam
blaOXA-42	Beta-lactam	Unknown Beta-lactam
blaOXA-43	Beta-lactam	Unknown Beta-lactam
blaOXA-45	Beta-lactam	Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefixime, Cefotaxime, Ceftazidime, Piperacillin
blaOXA-46	Beta-lactam	Amoxicillin, Ampicillin
blaOXA-47	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Piperacillin, Piperacillin+Tazobactam
blaOXA-48	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam
blaOXA-49	Beta-lactam	Unknown Beta-lactam
blaOXA-50	Beta-lactam	Amoxicillin, Ampicillin
blaOXA-51	Beta-lactam	Amoxicillin, Ampicillin, Imipenem
blaOXA-53	Beta-lactam	Ceftazidime
blaOXA-54	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Imipenem, Piperacillin, Piperacillin+Tazobactam
blaOXA-55	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Imipenem
blaOXA-56	Beta-lactam	Unknown Beta-lactam
blaOXA-57	Beta-lactam	Unknown Beta-lactam
blaOXA-58	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Imipenem, Meropenem
blaOXA-59	Beta-lactam	Unknown Beta-lactam
blaOXA-60	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Imipenem, Unknown Beta-lactam
blaOXA-60d	Beta-lactam	Unknown Beta-lactam
blaOXA-60c	Beta-lactam	Unknown Beta-lactam
blaOXA-60b	Beta-lactam	Unknown Beta-lactam
blaOXA-61	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid
blaOXA-62	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Meropenem, Piperacillin, Piperacillin+Tazobactam
blaOXA-63	Beta-lactam	Amoxicillin, Ampicillin, Piperacillin
blaOXA-64	Beta-lactam	Unknown Beta-lactam
blaOXA-65	Beta-lactam	Unknown Beta-lactam
blaOXA-66	Beta-lactam	Unknown Beta-lactam
blaOXA-67	Beta-lactam	Unknown Beta-lactam
blaOXA-68	Beta-lactam	Unknown Beta-lactam
blaOXA-69	Beta-lactam	Amoxicillin, Ampicillin
blaOXA-70	Beta-lactam	Unknown Beta-lactam
blaOXA-71	Beta-lactam	Unknown Beta-lactam
blaOXA-72	Beta-lactam	Unknown Beta-lactam
blaOXA-73	Beta-lactam	Unknown Beta-lactam
blaOXA-74	Beta-lactam	Cefepime, Ceftazidime
blaOXA-75	Beta-lactam	Unknown Beta-lactam
blaOXA-76	Beta-lactam	Unknown Beta-lactam
blaOXA-77	Beta-lactam	Unknown Beta-lactam
blaOXA-78	Beta-lactam	Unknown Beta-lactam
blaOXA-79	Beta-lactam	Unknown Beta-lactam
blaOXA-80	Beta-lactam	Unknown Beta-lactam
blaOXA-82	Beta-lactam	Imipenem
blaOXA-83	Beta-lactam	Unknown Beta-lactam
blaOXA-84	Beta-lactam	Unknown Beta-lactam
blaOXA-85	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid
blaOXA-86	Beta-lactam	Unknown Beta-lactam
blaOXA-87	Beta-lactam	Unknown Beta-lactam
blaOXA-88	Beta-lactam	Unknown Beta-lactam
blaOXA-89	Beta-lactam	Unknown Beta-lactam
blaOXA-90	Beta-lactam	Unknown Beta-lactam
blaOXA-91	Beta-lactam	Unknown Beta-lactam
blaOXA-92	Beta-lactam	Unknown Beta-lactam
blaOXA-93	Beta-lactam	Unknown Beta-lactam
blaOXA-94	Beta-lactam	Unknown Beta-lactam
blaOXA-95	Beta-lactam	Unknown Beta-lactam
blaOXA-96	Beta-lactam	Unknown Beta-lactam
blaOXA-97	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Imipenem, Meropenem
blaOXA-98	Beta-lactam	Unknown Beta-lactam
blaOXA-99	Beta-lactam	Unknown Beta-lactam
blaOXA-100	Beta-lactam	Unknown Beta-lactam
blaOXA-101	Beta-lactam	Amoxicillin, Ampicillin
blaOXA-102	Beta-lactam	Ertapenem, Imipenem
blaOXA-103	Beta-lactam	Ertapenem, Imipenem
blaOXA-104	Beta-lactam	Unknown Beta-lactam
blaOXA-106	Beta-lactam	Unknown Beta-lactam
blaOXA-107	Beta-lactam	Unknown Beta-lactam
blaOXA-108	Beta-lactam	Unknown Beta-lactam
blaOXA-109	Beta-lactam	Unknown Beta-lactam
blaOXA-110	Beta-lactam	Unknown Beta-lactam
blaOXA-111	Beta-lactam	Unknown Beta-lactam
blaOXA-112	Beta-lactam	Unknown Beta-lactam
blaOXA-113	Beta-lactam	Unknown Beta-lactam
blaOXA-114a	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid
blaOXA-114b	Beta-lactam	Unknown Beta-lactam
blaOXA-114c	Beta-lactam	Unknown Beta-lactam
blaOXA-114d	Beta-lactam	Unknown Beta-lactam
blaOXA-114e	Beta-lactam	Unknown Beta-lactam
blaOXA-114f	Beta-lactam	Unknown Beta-lactam
blaOXA-114g	Beta-lactam	Unknown Beta-lactam
blaOXA-115	Beta-lactam	Unknown Beta-lactam
blaOXA-116	Beta-lactam	Unknown Beta-lactam
blaOXA-117	Beta-lactam	Unknown Beta-lactam
blaOXA-118	Beta-lactam	Unknown Beta-lactam
blaOXA-119	Beta-lactam	Unknown Beta-lactam
blaOXA-120	Beta-lactam	Unknown Beta-lactam
blaOXA-121	Beta-lactam	Unknown Beta-lactam
blaOXA-122	Beta-lactam	Unknown Beta-lactam
blaOXA-123	Beta-lactam	Unknown Beta-lactam
blaOXA-124	Beta-lactam	Unknown Beta-lactam
blaOXA-125	Beta-lactam	Unknown Beta-lactam
blaOXA-126	Beta-lactam	Unknown Beta-lactam
blaOXA-127	Beta-lactam	Unknown Beta-lactam
blaOXA-128	Beta-lactam	Unknown Beta-lactam
blaOXA-129	Beta-lactam	Unknown Beta-lactam
blaOXA-130	Beta-lactam	Unknown Beta-lactam
blaOXA-131	Beta-lactam	Unknown Beta-lactam
blaOXA-132	Beta-lactam	Unknown Beta-lactam
blaOXA-133	Beta-lactam	Unknown Beta-lactam
blaOXA-134	Beta-lactam	Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Meropenem
blaOXA-136	Beta-lactam	Amoxicillin, Ampicillin
blaOXA-137	Beta-lactam	Unknown Beta-lactam
blaOXA-138	Beta-lactam	Imipenem, Meropenem
blaOXA-139	Beta-lactam	Unknown Beta-lactam
